Field,Confidence,N,All Sources,Binary,Binary Notes,Outflow Source,Outflow Source Notes,Blue Lobe Notes,Red Lobe Notes,Other Notes,V_sys,Blue Channels,Red Channels,Blue First Angle,Blue Second Angle,Blue Center Angle,Blue Center Corrected,Red First Angle,Red Second Angle,Red Center Angle,Red Center Corrected,Average Angle (Red),Lobe PA Offset
HOPS-384,LOW,4,"A, AB, B, C",A+AB,Not visually distinct,A+AB,Can't distinguish outflow source,"Not much, unclear, did not measure","Sharp v-shape, messy",,11,,108-112,,,,,160.85,207.89,184.37,184.37,184.37,
HOPS-304,HIGH,2,"A, B",A+B,"Visually distinct, separated",A+B,Can't distinguish outflow source,"U-shape, messy","U-shape, faint, low S/N",,10,94-98,107-109,125.67,147.26,136.465,316.465,0.06,-26.65,-13.295,346.705,331.585,30.24
HOPS-400,HIGH,2,"A, B",A+B,"Visually distinct, barely touching, B much bigger/brighter",A,,"Diffuse v-shape, very narrow","Diffuse v-shape, very narrow",,9,95-98,103-108,87.76,104.72,96.24,276.24,-91.04,-114.86,-102.95,257.05,266.645,19.19
HOPS-213,LOW,2,"A, B",A+B,A and B are touching,A+B,,"faint c-shape arc, low S/N, only 2 channels","faint sharp v-shape, better S/N, only 2 channels",Image is fuzzy and has artifacts,3,92-93,97-98,27.49,136.97,82.23,262.23,-45.86,-140.65,-93.255,266.745,264.4875,4.515
HOPS-312,HIGH,2,"A, B",A+B,Visually distinct and touching,A+B,"red lobe closer to A, blue lobe closer to B","Sharp v-shape, distinct","Sharp v-shape, fainter",,3,88-91,97-98,8.94,65.02,36.98,216.98,-117.52,-170.95,-144.235,215.765,216.3725,1.215
HOPS-363,LOW,2,"A, B",A+B,Not visually distinct,A+B,Can't distinguish outflow source. ,"diffuse v shape, faint, not totally clear","sharp v shape, but disrupted at some points; messy",,9,92-93,107-109,-39.69,-158.98,-99.335,80.665,60.69,149.22,104.955,104.955,92.81,24.29
HOPS-323,HIGH,2,"A, B",A+B,"Visually distinct, separated",A+B,"Unclear, two outflows","Two sharp and distinct v-shapes originating from each source, more or less aligned","Sharp v-shape, distinct, from  between A and B",,11,94-99,105-107,97.01,141.85,119.43,299.43,-38.6,-67.9,-53.25,306.75,303.09,7.32
HOPS-366,HIGH,2,"A, B",A+B,Not visually distinct,A+B,Can't distinguish outflow source,"C-shape, wide, some parts low S/N others good","Harder to pick out from the data, but somewhat visible, wide c-shape, easier to see in higher channels. Did not measure",,9,80-87,112-120,-6.01,-80.75,-43.38,136.62,,,,,136.62,
HOPS-361-N,HIGH,4,"A, B, CA, CB",CA+CB,Visually distinct and touching,CA+CB,Can't distinguish outflow source,"Sharp v-shape, faint, low S/N","Possible v-shape buried under a mess, did not measure",possible outflows on A and/or B,9,81-88,,3.11,38.8,20.955,200.955,,,,,200.955,
HOPS-364,HIGH,2,"A, B",A+B,Not visually distinct,A+B,Can't distinguish outflow source,"V-shape, slightly curved, distinct","V-shape, slightly curved, wider",,10,94-98,105-108,91.14,118.98,105.06,285.06,-61.58,-123.33,-92.455,267.545,276.3025,17.515
HH270VLA1,HIGH,2,"A, B",A+B,"Visually distinct, touching",A+B,Can't distinguish outflow source,"V-shape, wide, curves slightly","Sharp v-shape, wide, poor S/N",High inclination,9,94-100,104-109,-96.54,-163.93,-130.235,49.765,18.22,82.42,50.32,50.32,50.0425,0.555
